Date,Inverter,Energy,
7/1/2022,2,16396.1,
7/2/2022,2,16780.7,
7/3/2022,2,12766.7,
7/4/2022,2,11315.6,
7/5/2022,2,16431.2,
7/6/2022,2,16380.0,
7/7/2022,2,16477.1,
7/8/2022,2,15904.9,
7/9/2022,2,16673.8,
7/10/2022,2,16565.3,
7/11/2022,2,16243.6,
7/12/2022,2,15873.1,
7/13/2022,2,16200.6,
7/14/2022,2,15997.0,
7/15/2022,2,16115.0,
7/16/2022,2,15882.8,
7/17/2022,2,14998.4,
7/18/2022,2,10490.0,
7/19/2022,2,15576.6,
7/20/2022,2,15650.1,
7/21/2022,2,16092.5,
7/22/2022,2,16225.7,
7/23/2022,2,15993.6,
7/24/2022,2,15950.2,
7/25/2022,2,15749.6,
7/26/2022,2,15554.1,
7/27/2022,2,14759.9,
7/28/2022,2,14236.4,
7/29/2022,2,13637.7,
7/30/2022,2,12870.3,
7/31/2022,2,7600.0,
8/1/2022,2,10982.0,
8/2/2022,2,13934.3,
8/3/2022,2,13755.7,
8/4/2022,2,10487.2,
8/5/2022,2,10643.2,
8/6/2022,2,15146.5,
8/7/2022,2,15146.6,
8/8/2022,2,13534.4,
8/9/2022,2,14150.6,
8/10/2022,2,14778.8,
8/11/2022,2,14918.5,
8/12/2022,2,14967.9,
8/13/2022,2,14847.1,
8/14/2022,2,15015.3,
8/15/2022,2,14571.8,
8/16/2022,2,14070.7,
8/17/2022,2,11204.1,
8/18/2022,2,13854.5,
8/19/2022,2,14070.5,
8/20/2022,2,13895.3,
8/21/2022,2,13809.3,
8/22/2022,2,14036.9,
8/23/2022,2,13884.2,
8/24/2022,2,13072.6,
8/25/2022,2,13154.8,
8/26/2022,2,13332.9,
8/27/2022,2,12563.6,
8/28/2022,2,13503.9,
8/29/2022,2,13088.0,
8/30/2022,2,12978.0,
8/31/2022,2,13098.7,
9/1/2022,2,12919.2,
9/2/2022,2,12619.1,
9/3/2022,2,12950.4,
9/4/2022,2,12433.3,
9/5/2022,2,11858.1,
9/6/2022,2,11682.4,
9/7/2022,2,2586.8,
9/8/2022,2,10293.4,
9/9/2022,2,11950.6,
9/10/2022,2,5909.1,
9/11/2022,2,11501.1,
9/12/2022,2,13014.5,
9/13/2022,2,11414.7,
9/14/2022,2,14434.7,
9/15/2022,2,5585.9,
9/16/2022,2,17747.1,
9/17/2022,2,18646.1,
9/18/2022,2,8107.7,
9/19/2022,2,5447.1,
9/20/2022,2,19840.4,
9/21/2022,2,19114.5,
9/22/2022,2,19963.2,
9/23/2022,2,19192.0,
9/24/2022,2,18502.4,
9/25/2022,2,17480.4,
9/26/2022,2,17661.1,
9/27/2022,2,17983.8,
9/28/2022,2,17881.8,
9/29/2022,2,17845.8,
